@id,name,addr:street,addr:housenumber,addr:postcode,addr:city,phone,website,opening_hours
416560238,Café Charbon,Rue Oberkampf,109,75011,Paris,+33 1 43 57 55 13,https://www.lecafecharbon.fr/,Mo-Su 08:00-02:00
418140401,Chair de poule,Rue Saint-Maur,141,75011,Paris,+33 1 43 38 89 06,http://chairdepouleparis.com,Mo-Sa 08:00-18:00; Su 17:00-24:00
418142037,L'Assassin,Rue Jean-Pierre Timbaud,99,75011,Paris,+33 1 49 23 08 96,https://www.lassassin.fr,Mo-Su 09:00-02:00
635864714,Rosa Bonheur,Avenue de la Cascade,2,75019,Paris,+331 42 00 00 45,https://rosabonheur.fr/rosa-buttes,Th-Su 12:00-00:00
715428526,La Frange,Rue Jean Pierre timbaud,61,75011,Paris,+33 1 82 09 87 29,https://www.facebook.com/LaFrangebar/,Mo-Su 18:00-02:00
971476175,Folie's Café,Rue Geoffroy Marie,16,75009,Paris,+33 1 48 24 04 91,https://www.foliescafe.fr/,"Mo-Fr 00:00-01:00, 08:00-23:59; Sa-Su 00:00-02:00, 09:00-23:59"
1234207497,Les Petites Flèches,Boulevard de Clichy,49,75009,Paris,+33 1 53 62 19 05,https://lespetitesfleches.com/,"Mo 18:00-24:00; Tu 18:00-24:00; We,Th 00:00-01:00,18:00-24:00; Fr 00:00-02:00,18:00-24:00; Sa 00:00-02:00,15:30-24:00; Su 00:00-02:00,15:30-23:00"
1483017732,Quartier Lorette,Rue de Châteaudun,19,75009,Paris 9eme Arrondissement,+33 1 40 36 14 98,https://www.quartierlorette.com/,Mo-Fr 07:30-01:00; Sa-Su 08:00-01:00
1756731237,Le Blomet,Rue Blomet,102,75015,Paris,+33 9 54 20 66 97,https://leblomet-restaurant.fr/,"Mo-Sa 07:00-01:00,Su 08:00-01:00"
1785271479,Le Motel,Passage Josset,8,75011,Paris,+33 1 58 30 84 68,https://www.lemotel.fr/,Tu-Su 18:00-01:45
1789946258,L'Alimentation générale,Rue Jean-Pierre Timbaud,64,75011,Paris,+33 9 81 86 42 50,https://www.alimentation-generale.net/,We-Th 19:00-02:00; Fr-Sa 19:00-05:00
1830661957,La Fine Mousse,Avenue Jean Aicard,6,75011,Paris,+33148064094,https://www.lafinemousse.fr/,Mo-Fr 17:00+; Sa-Su 16:00+
2003145820,Oculto,Rue Quincampoix,27,75004,Paris,+33 9 74 73 56 57,https://www.ocultoparis.fr/,"Mo, Su 16:30-24:00; Tu-Fr 16:30-02:00; Sa 14:30-02:00"
2149109986,Le Président,Avenue Franklin Delano Roosevelt,59,75008,Paris,+331 43 59 80 74,https://lepresident.paris/,Mo-Fr 07:00-23:59; Sa-Su 10:00-23:59
2244578060,N'Importe Quoi,Rue du Roule,16,75001,Paris,+33 1 40 26 29 71,https://www.nimportequoi.fr/,Mo-Su 18:00-05:00
2283655494,Le refuge,Place de la Bataille de Stalingrad,6-8,75019,Paris,+33 1 80483340,https://larotondestalingrad.com/,Mo-Su 08:00-02:00
2517187100,Rpr Le Repaire De Charonne,Rue de Charonne,114,75011,Paris,+33 6 68 02 80 38,https://lerepairedecharonne.com/,Mo-Su 18:00-02:00
2863318673,Le Saint-Sauveur,Rue des Panoyaux,11,75020,Paris,+33 1 42 52 87 60,https://www.facebook.com/Saint-Sauveur-1564357753854669/,Mo-Su 17:00-02:00
2875881221,Chouff'bar,Rue du Pot de Fer,16,75005,Paris,+33619625999,https://www.facebook.com/chouffpotdefer/,Mo-Su 16:00-02:00
2940013085,La Cantine De Belleville,Boulevard de Belleville,108,75020,Paris,+33 1 43 15 99 29,https://lacantinebelleville.fr/,"Mo-Su 00:00-02:00, 11:00-23:59"
2991169114,Marlusse Et Lapin,Rue Germain Pilon,14,75018,Paris,+33 1 83 76 02 29,http://www.marlusselapin.fr,"Mo-Su 00:00-02:00, 18:00-23:59"
3089653307,Le Comptoir général,Quai de Jemmapes,80,75010,Paris,+33 1 44 88 24 48,https://www.lecomptoirgeneral.com/,Mo-Th 18:00-02:00; Fr 16:00-02:00; Sa 14:00-02:00; Su 11:00-01:00
3176500820,Chez Gladines,Rue des Halles,11 bis,75001,Paris,+33 1 42 21 07 00,https://chezgladines-leshalles.fr/fr,Mo 12:00-23:30; Tu-Sa 12:00-23:00; Su 11:30-16:00
3221461721,Aux Trois Violons,Rue Saint-Sébastien,22,75011,Paris,+33 1 43 57 10 15,https://www.auxtroisviolons.com/,Mo-Sa 20:00-02:00
3419505501,Ernest,Rue du Commandant René Mouchotte,35,75014,Paris,+33 1 43 22 20 12,https://www.brasserie-ernest.com/,Mo-Su 07:00-02:00
3518901751,Lulu White,Rue Frochot,12,75009,Paris,+33 9 83 58 93 32,http://luluwhite.bar/,"Mo-Su 00:00-02:00,19:00-24:00"
3606640828,Bistrot Le Rez De Chaussée,Rue Sorbier,10,75020,Paris,+33 1 43 58 30 14,https://deliveroo.fr/fr/menu/paris/paris-20eme-menilmontant/le-rez-de-chaussee,Mo-Su 12:00-22:00
4416571837,Le Carmen,Rue Duperré,34,75009,Paris,+33 1 48 74 33 10,https://le-carmen.fr/,Tu-Sa 18:00-06:00
4529746054,Les Petits Crus,Rue Saint-Sabin,13,75011,Paris,+33967298933,https://lespetitscrus.com/,Mo-Sa 18:00-23:00
4913245624,The Place To... Wagram,Avenue de Wagram,47,75008,Paris,+33 1 45 74 79 28,https://www.theplaceto.paris/,Mo-Fr 08:00-00:00; Sa-Su 09:00-00:00
5084534221,L'Atalante,Quai de la Marne,26,75019,Paris,+33145261382,http://atalanteourcq.fr/,"Mo 17:00-24:00, Tu-Th 17:00-01:30, Fr-Su 12:00-01:30; PH off"
5324631720,Bear's Den,Rue des Lombards,6,75004,Paris,+33 1 42 71 08 20,http://www.bearsden.fr/,"Mo-Fr 16:00-03:00; Sa,Su 16:00-04:00"
5468333637,Au Rêve,Rue Caulaincourt,89,75018,Paris,+339 55 51 39 82,https://aureve.com/,Mo-Fr 08:00-02:00; Sa 09:00-02:00; Su 09:00-17:00
5480778446,Papy Aux Fourneaux,Rue de l'Ouest,70,75014,Paris,+33 1 45 49 06 12,https://papyauxfourneaux.fr/,"Mo-Su 12:00-14:00,19:30-22:00"
5638139086,Chez Lui,Rue Saint-Maur,67,75011,Paris,+33 1 43 38 37 02,https://www.facebook.com/Chez-Lui-659428777555045/,Mo-Su 07:00-02:00
5823911495,Pili Pili,Rue Jean-Pierre Timbaud,70,75011,Paris,+33 1 47 00 49 36,http://barpili.com,Tu-Sa 18:00-02:00
5823911496,Touller Outillage,Rue Jean-Pierre Timbaud,68,75011,Paris,+33 1 43 38 61 25,http://toulleroutillage.strikingly.com,Th-Su 17:00-02:00
5934013828,L'Impasse,Cité Griset,4,75011,Paris,+33 6 52 76 69 77,http://limpassebar.com/,Tu-Sa 17:00-02:00
6209996039,L'intrépide Bar,Rue Pierre Fontaine,37,75009,Paris,+33 7 67 41 65 26,https://demoryparis.com/lintrepide-craft-beer-bar,"Tu 18:00-23:59; We-Sa 00:00-02:00, 18:00-23:59; Su 00:00-02:00"
6393493952,Le Ô Lieu De,Rue Jean-Pierre Timbaud,6,75011,Paris,+33 7 69 37 34 51,https://www.olieude.com/,"Mo-Su 11:30-15:00,18:00-02:00"
6687359412,Bobance Bar,Place Flora Tristan,,75014,Paris,+33 6 75 76 76 37,https://www.bobance.com/,Mo-Fr 18:30+
7462119769,Aux Ours,Rue des Pyrénées,236,75020,Paris,+33 1 83 96 40 79,https://auxours.fr,"Mo-Fr 07:00-02:00; Sa,Su 08:00-02:00"
7778868039,Les Mauvais Joueurs,Rue Sedaine,46,75011,Paris,+33 6 50 66 79 21,https://lesmauvaisjoueurs.com,"Tu-Fr 17:00-01:00, Sa 15:00-01:00, Su 15:00-23:00"
7900295917,Baretto Paris,Rue d'Alexandrie,14,75002,Paris,+33 9 67 40 40 23,https://www.barettoparis.fr/menus-carte,"Mo 10:00-24:00; Tu-Fr 00:00-01:30, 10:00-24:00; Sa 00:00-01:30, 18:00-24:00; Su 00:00-01:30"
8243533268,The Labo Bar Club Paris,Rue des Lombards,37,75001,Paris,+33140280252,https://thelabo.fr,"Th-Fr 15:00-06:00; Tu-We, Sa-Su 15:00-03:00"
8299964054,Freemousse.bar,Rue Marcadet,76,75018,Paris,+33 6 88 88 19 65,http://freemousse.bar,"Mo-Sa 00:00-02:00, 17:00-23:59; Su 00:00-02:00"
8820577479,La pince à cornichons,Rue du Croissant,20,75002,Paris,+33 1 42 36 38 90,https://www.lapinceacornichons.fr/,"Tu-Fr 11:30-15:00,17:00-01:30; Sa 17:00-01:30"
8956936117,L'Eurydice,Rue du Cardinal Lemoine,79,75005,Paris,+33 9 87 70 85 72,https://leurydice.fr,Tu-Th 17:00-02:00; Fr-Sa 17:00-04:00
9456207103,Arkose Chevaleret,Rue du Chevaleret,181,75013,Paris,+33 1 45 85 87 04,https://arkose.com/chevaleret,Mo-Su 07:00-00:00
9571422517,Levain Le Vin,Rue du Faubourg Saint-Martin,83,75010,Paris,+33 1 42 45 49 10,https://www.levainlevin.com/,Tu-Sa 10:00-22:00
9577531178,Neuvième Sauvage,Rue Gérando,20,75009,Paris,+33 6 28 26 15 95,https://menu.tastycloud.fr/111eefe17ad411b44710752a0ba9bf0febdf80c9192e0ee0b641a9bb58aec98f/,"Mo-Su 00:00-02:00, 07:00-23:59"
10025838438,Sacré Frenchy !,Boulevard de Sébastopol,58,75003,Paris,+33 1 42 74 55 63,https://www.sacrefrenchy.com,Mo-Su 11:30-23:00
10089952630,Les Brigands,Rue Montmartre,120,75002,Paris,+33 1 73 79 89 69,https://www.thirstymadcat.com/,Mo-Fr 16:00-02:00; Sa 15:00-01:00; Su 15:00-00:00
11085159147,Quai de la photo,Port de la Gare,9,75013,Paris,+33 7 66 43 01 18,https://quaidelaphoto.fr/,May-Oct 12:00-23:30; Nov-Dec We-Su 12:00-23:30; Jan-Apr We-Su 12:00-23:30
